Date (GMT+1),Non-Renewable,Renewable,Day Ahead Auction (DE-LU)
,Power (MW),Power (MW),"Price (EUR/MWh, EUR/tCO2)"
2025-01-07T03:00+01:00,11190.60043,48052.31377,5.01
2025-01-07T04:00+01:00,11281.87261,47857.27617,5.13
2025-01-07T05:00+01:00,12447.31937,47125.59451,5.8
2025-01-07T06:00+01:00,14444.47691,47970.89775,48.86
2025-01-07T07:00+01:00,17631.65755,47619.88568,76.83
2025-01-07T08:00+01:00,18722.58079,48407.78702,85.08
2025-01-07T09:00+01:00,19137.71425,49787.40747,84.24
2025-01-07T10:00+01:00,18577.86079,52701.23233,75.25
2025-01-07T11:00+01:00,17655.28886,55450.02328,62.8
2025-01-07T12:00+01:00,17253.71548,56211.52563,62.44
2025-01-07T13:00+01:00,16920.49298,55154.25425,63.9
2025-01-07T14:00+01:00,17027.61723,51678.772,72.56
2025-01-07T15:00+01:00,17776.36753,47152.51702,78.11
2025-01-07T16:00+01:00,18632.33368,45218.43422,79.98
2025-01-07T17:00+01:00,20221.67719,46676.8355,96.03
2025-01-07T18:00+01:00,21015.70334,47168.71655,101.11
2025-01-07T19:00+01:00,21188.36945,46285.4179,86.21
2025-01-07T20:00+01:00,21069.10288,46820.60857,78.01
2025-01-07T21:00+01:00,20611.08096,46835.87633,72.45
2025-01-07T22:00+01:00,19702.7046,45477.57304,72.45
2025-01-07T23:00+01:00,19368.60518,44282.90694,50.04
2025-01-08T00:00+01:00,18023.32591,43837.4913,71.05
2025-01-08T01:00+01:00,18108.1213,42747.09614,68.01
2025-01-08T02:00+01:00,18728.03519,40970.05511,63.34
2025-01-08T03:00+01:00,18893.72337,40448.62238,57.01
2025-01-08T04:00+01:00,19895.0809,40138.2256,66.29
2025-01-08T05:00+01:00,22475.57249,40170.98517,72.07
2025-01-08T06:00+01:00,25460.09359,41204.88332,82.7
2025-01-08T07:00+01:00,28212.15992,41794.41513,100.73
2025-01-08T08:00+01:00,30297.46647,41608.39034,128.22
2025-01-08T09:00+01:00,31292.50499,40850.78283,108.18
2025-01-08T10:00+01:00,31728.29501,41625.57684,94.65
2025-01-08T11:00+01:00,31655.1973,41911.72052,100.01
2025-01-08T12:00+01:00,31887.6557,40628.78936,89.99
